ID,Phase,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
317,1.930770485,-0.060081299,0.145049087,0.027,0.382683432,-0.923879533,0
318,1.996220332,-0.069439324,0.14080902,0.027,0.44228869,-0.896872742,0
319,2.061670179,-0.0785,0.135965988,0.027,0.5,-0.866025404,0
320,2.127120026,-0.087224527,0.130540729,0.027,0.555570233,-0.831469612,0
321,2.192569873,-0.095575544,0.124556474,0.027,0.608761429,-0.79335334,0
322,2.25801972,-0.103517293,0.11803885,0.027,0.659345815,-0.751839807,0
323,2.323469567,-0.111015765,0.111015765,0.027,0.707106781,-0.707106781,0
324,2.388919414,-0.11803885,0.103517293,0.027,0.751839807,-0.659345815,0
325,2.454369261,-0.124556474,0.095575544,0.027,0.79335334,-0.608761429,0
326,2.519819108,-0.130540729,0.087224527,0.027,0.831469612,-0.555570233,0
327,2.585268955,-0.135965988,0.0785,0.027,0.866025404,-0.5,0
328,2.650718801,-0.14080902,0.069439324,0.027,0.896872742,-0.44228869,0
329,2.716168648,-0.145049087,0.060081299,0.027,0.923879533,-0.382683432,0
330,2.781618495,-0.14866803,0.050465996,0.027,0.946930129,-0.321439465,0
331,2.847068342,-0.151650355,0.04063459,0.027,0.965925826,-0.258819045,0
332,2.912518189,-0.153983289,0.030629181,0.027,0.98078528,-0.195090322,0
333,2.977968036,-0.155656843,0.020492612,0.027,0.991444861,-0.130526192,0
334,3.043417883,-0.156663851,0.010268291,0.027,0.997858923,-0.065403129,0
335,3.10886773,-0.157,1.24543E-13,0.027,1,-7.93266E-13,0
336,3.174317577,-0.156663851,-0.010268291,0.027,0.997858923,0.065403129,0
337,3.239767424,-0.155656843,-0.020492612,0.027,0.991444861,0.130526192,0
338,3.305217271,-0.153983289,-0.030629181,0.027,0.98078528,0.195090322,0
339,3.370667118,-0.151650355,-0.04063459,0.027,0.965925826,0.258819045,0
340,3.436116965,-0.14866803,-0.050465996,0.027,0.946930129,0.321439465,0
341,3.501566812,-0.145049087,-0.060081299,0.027,0.923879533,0.382683432,0
342,3.567016659,-0.14080902,-0.069439324,0.027,0.896872742,0.44228869,0
343,3.632466506,-0.135965988,-0.0785,0.027,0.866025404,0.5,0
344,3.697916353,-0.130540729,-0.087224527,0.027,0.831469612,0.555570233,0
345,3.7633662,-0.124556474,-0.095575544,0.027,0.79335334,0.608761429,0
346,3.828816047,-0.11803885,-0.103517293,0.027,0.751839807,0.659345815,0
347,3.894265894,-0.111015765,-0.111015765,0.027,0.707106781,0.707106781,0
348,3.95971574,-0.103517293,-0.11803885,0.027,0.659345815,0.751839807,0
349,4.025165587,-0.095575544,-0.124556474,0.027,0.608761429,0.79335334,0
350,4.090615434,-0.087224527,-0.130540729,0.027,0.555570233,0.831469612,0
351,4.156065281,-0.0785,-0.135965988,0.027,0.5,0.866025404,0
352,4.221515128,-0.069439324,-0.14080902,0.027,0.44228869,0.896872742,0
